lat,long,id_place,formatted_address
40.8406082,-73.8835754,ChIJvVVlXIv0wokR4go0uekrTvs,"1909 Vyse Ave, The Bronx, NY 10460, USA"
40.7452878,-73.98142469999999,ChIJQUbm4wdZwokRhFoA4c-GPjE,"120 E 32nd St, New York, NY 10016, USA"
40.8364441,-73.9164634,ChIJT41iozn0wokR-FP7JaU1HF4,"1275 Grand Concourse, The Bronx, NY 10452, USA"
40.7292165,-73.9549767,ChIJ47t13kBZwokRK8wPAtokWOk,"136 Milton St, Brooklyn, NY 11222, USA"
40.7528932,-73.9840589,ChIJfWIriqpZwokRwW2486UmewY,"50 W 40th St, New York, NY 10018, USA"
40.6848036,-73.9743481,ChIJX9Zo1bFbwokRY3N0XzRSVoc,"150 S Portland Ave, Brooklyn, NY 11217, USA"
40.8082615,-73.9472409,Ei4xMzIgVyAxMjV0aCBTdCA1VEggRkwsIE5ldyBZb3JrLCBOWSAxMDAyNywgVVNBIiIaIAoWChQKEgklfQ5eDfbCiRGYTuFUbnln8BIGNVRIIEZM,"132 W 125th St 5TH FL, New York, NY 10027, USA"
40.8064324,-73.941566,ChIJ105hfAv2wokRsQP5L1ta8aU,"13 E 125th St #15, New York, NY 10035, USA"
40.6021572,-73.9945639,ChIJEYMpIAZFwokRaM8bHcJ6-lM,"2164 86th St, Brooklyn, NY 11214, USA"
40.8714855,-73.8921194,ChIJlVIZ3JzzwokRQ6_yKvmzsr0,"2868 Jerome Ave, The Bronx, NY 10468, USA"
40.6323696,-73.8907876,ChIJS00-hddcwokRf-VU9es9860,"9502 Seaview Ave, Brooklyn, NY 11236, USA"
40.6764879,-73.9475088,ChIJqXe4UptbwokRDZ2CfwBGtKQ,"1256 Dean St, Brooklyn, NY 11216, USA"
40.6349183,-74.0141754,ChIJjak6lE5FwokRkHziSpDnOuo,"6324 7th Ave, Brooklyn, NY 11220, USA"
40.7087729,-73.74630420000001,ChIJGfxTYthjwokR8SvjumspTsA,"211-04 Hollis Ave, Queens Village, NY 11429, USA"
40.714097,-73.770155,ChIJBdxpQ21hwokRxkF1Zvk3L1g,"89-22 191st St, Jamaica, NY 11423, USA"
40.7080583,-73.76273809999999,ChIJhdxnJmlhwokRveCtkrvlEAE,"100-50 196th St, Hollis, NY 11423, USA"
40.65038149999999,-73.95350150000002,ChIJo50SJ0JbwokRPTi5X4Bqa-s,"2530 Church Ave, Brooklyn, NY 11226, USA"
40.8064324,-73.941566,ChIJ105hfAv2wokRsQP5L1ta8aU,"13 E 125th St #15, New York, NY 10035, USA"
40.668864,-73.79198199999999,ChIJ_WVD099mwokR0Onj2ql2m9w,"146-17 133rd Ave, Jamaica, NY 11436, USA"
40.64426,-73.9625246,ChIJGaSczjlbwokRnMBScHj27Zs,"279 E 17th St, Brooklyn, NY 11226, USA"
40.7944627,-73.970606,ChIJLdcS2yf2wokRWvDRMWiryks,"207 W 96th St, New York, NY 10025, USA"
40.8366719,-73.9019715,ChIJ94cevUT0wokRpEObQBCMfBY,"3780 3rd Ave, The Bronx, NY 10456, USA"
40.6771016,-73.7550854,ChIJ2TcIvq5mwokRxW6Uy-OpXAM,"136-25 Springfield Blvd, St. Albans, NY 11413, USA"
40.657291,-73.91828799999999,ChIJHwrhAI5cwokRE-piNsuCWfU,"409 E 95th St, Brooklyn, NY 11212, USA"
40.657017,-73.918645,ChIJHwrhAI5cwokRwcfCZJH3WIQ,"414 E 95th St, Brooklyn, NY 11212, USA"
40.6789891,-73.9642607,Eis2NTAgV2FzaGluZ3RvbiBBdmUsIEJyb29rbHluLCBOWSAxMTIzOCwgVVNBIhsSGQoUChIJ244_6KNbwokRhnUgGuQAxt4QigU,"650 Washington Ave, Brooklyn, NY 11238, USA"
40.6610592,-73.9428063,ChIJKVMcRntbwokR_HOJoizwijg,"520 Kingston Ave # A, Brooklyn, NY 11225, USA"
40.7543944,-73.821624,ChIJZe3BVRRgwokRPoGplFGDgso,"140-32 Cherry Ave, Flushing, NY 11355, USA"
40.58134159999999,-73.96344839999999,ChIJD1fFpkNEwokRBXpiGzfNQE4,"273 Neptune Ave, Brooklyn, NY 11235, USA"
40.8313843,-73.9093929,ChIJ5TfD-Ej0wokRdVIeWxoUU4c,"1211 Brook Ave, The Bronx, NY 10456, USA"
40.8484236,-73.9353672,ChIJXdq73B_0wokRcA7U38_rpGE,"619 W 179th St, New York, NY 10033, USA"
40.6538042,-73.91793299999999,ChIJw1EH2pNcwokRUJDI4hbra-s,"9202 Church Ave, Brooklyn, NY 11236, USA"
40.8171309,-73.9428018,ChIJ4WMbx3D2wokRQ-e-QOrapvM,"2348 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA"
40.6756261,-73.8781777,ChIJxcbYs7BdwokRs5_ySt4pKqI,"862 Glenmore Ave, Brooklyn, NY 11208, USA"
