lat,long,id,id_place,name,type
40.517916,-74.236158,2de3b2c43112e3a6d63f3b724982f6f9b9a73b34,ChIJwc2541u1w4kRJs2yes-_WYs,Scotty's Top Tomato on Page Avenue,"supermarket, bakery, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5283345,-74.2346295,2e20d282bc00802d0d073027ebb3a98fe88820e6,ChIJ5-xipka1w4kRSsL60QLIIEA,Charleston Shopping Center,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5287037,-74.2326435,27c5a2b03cb6436f53bbf8b34e4493efec28552b,ChIJldl7RnC1w4kRasC68LROMoo,Target Grocery,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5204827,-74.26499249999999,78eb4e1c79704858e4e6f440377575388d0c05dd,ChIJ-Zbddzy1w4kRGwq4RIwQKbc,Santillana Superfood,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5200373,-74.2683076,48be2aa7964beb405e3c6adacd7c86be0b369bdf,ChIJRzqyAYG1w4kRz2N8_0WuE4c,Ideal Supermarket & Deli Inc,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.516877,-74.243895,6f4b65573b5e385e273fd520fa111f212ed0f9c4,ChIJ-yUVVmC1w4kRPQYSmO1iGZ4,La Bella Marketplace,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.517916,-74.236158,2de3b2c43112e3a6d63f3b724982f6f9b9a73b34,ChIJwc2541u1w4kRJs2yes-_WYs,Scotty's Top Tomato on Page Avenue,"supermarket, bakery, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5287037,-74.2326435,27c5a2b03cb6436f53bbf8b34e4493efec28552b,ChIJldl7RnC1w4kRasC68LROMoo,Target Grocery,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.5283345,-74.2346295,2e20d282bc00802d0d073027ebb3a98fe88820e6,ChIJ5-xipka1w4kRSsL60QLIIEA,Charleston Shopping Center,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55142110000001,-74.21254929999999,531b67d7b566b43eb0040cfd860cfdebcbab70fb,ChIJbR6BiClLwokRD4Xp-t9s8_0,Mignosi's Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5287037,-74.2326435,27c5a2b03cb6436f53bbf8b34e4493efec28552b,ChIJldl7RnC1w4kRasC68LROMoo,Target Grocery,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
40.55142110000001,-74.21254929999999,531b67d7b566b43eb0040cfd860cfdebcbab70fb,ChIJbR6BiClLwokRD4Xp-t9s8_0,Mignosi's Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5283345,-74.2346295,2e20d282bc00802d0d073027ebb3a98fe88820e6,ChIJ5-xipka1w4kRSsL60QLIIEA,Charleston Shopping Center,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5448014,-74.16585660000001,8828a85fed7338cbe1f1839d2f236029db1756be,ChIJJVx0ZqtLwokRcvBw-IBihsI,Freddies Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.55295580000001,-74.1938911,6c97a3ea00d40e7bc52faa758f8c06f0f8928a52,ChIJJ_FY8DxLwokRFKyqsMdf-QI,Key Food,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.54955280000001,-74.15160279999999,fdc22bfb5b88132d8fbb1c4370013022abf48845,ChIJMydMEbdLwokRuhjDBM3_wdc,Top Tomato Superstore,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5448014,-74.16585660000001,8828a85fed7338cbe1f1839d2f236029db1756be,ChIJJVx0ZqtLwokRcvBw-IBihsI,Freddies Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5290628,-74.1892704,625082a893d91b91eb2d399f044127a5aa121f78,ChIJ-S0wIX01wokRGrfBPBf8iwk,Kindom Hall JW,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.54955280000001,-74.15160279999999,fdc22bfb5b88132d8fbb1c4370013022abf48845,ChIJMydMEbdLwokRuhjDBM3_wdc,Top Tomato Superstore,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
40.5448014,-74.16585660000001,8828a85fed7338cbe1f1839d2f236029db1756be,ChIJJVx0ZqtLwokRcvBw-IBihsI,Freddies Supermarket,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
