OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth
253,818,3,Brooklyn,081800,3081800,E,BK95,Erasmus,BK,886.164395783269924,1759.649637758964673,469.471130546453253,3457.547967571920708,910.886907129055658,935.967626137985008,4010.214831012938248,69.000000000000000,9.244927536231884,2.451922189047273
254,824,3,Brooklyn,082400,3082400,E,BK95,Erasmus,BK,2446.366625061347349,2080.169276692657149,872.293753100450431,3905.084933029285821,733.957243516200833,2080.383217202192554,4232.162225761907393,93.000000000000000,9.456989247311830,3.425556059255273
255,832,3,Brooklyn,083200,3083200,I,BK91,East Flatbush-Farragut,BK,5114.309042215420050,4457.136411956106713,1202.972992334664013,1911.912125446348455,1935.024928157890599,1222.637660061494444,7535.981732242547878,56.000000000000000,8.807142857142859,1.900703902420186
256,836,3,Brooklyn,083600,3083600,I,BK91,East Flatbush-Farragut,BK,7046.051951988591100,6336.839231018854662,1841.123194539686665,1616.875610068005471,3778.939639495294614,437.581462443785938,9952.670800368918208,93.000000000000000,10.886021505376339,3.582705784552078
257,838,3,Brooklyn,083800,3083800,I,BK91,East Flatbush-Farragut,BK,5757.710862254536551,6257.615203853152707,606.152459006919798,138.131448028956328,3709.696323785929508,1129.563892818501472,8947.389600303378757,92.000000000000000,11.433695652173913,5.824149745499584
258,840,3,Brooklyn,084000,3084000,I,BK91,East Flatbush-Farragut,BK,6325.027380141977119,6372.849371906920169,1671.711172589368061,970.238422487198477,4776.147153995177177,154.284604496617504,9826.238439391150678,90.000000000000000,12.600000000000003,5.093331176343250
259,846,3,Brooklyn,084600,3084600,I,BK96,Rugby-Remsen Village,BK,6212.920811427166882,6205.221272972488805,2698.799666254521526,2034.617037561256893,5840.692846852814910,872.186293429233501,10726.429422873601652,77.000000000000000,11.433766233766230,3.872528427051057
260,848,3,Brooklyn,084800,3084800,I,BK96,Rugby-Remsen Village,BK,4993.451989845188109,4993.451989845188109,1318.671462141238862,2287.081663122598002,5843.372527475177776,634.490413524079713,10045.879570038279780,72.000000000000000,9.215277777777771,2.906023841891195
261,850,3,Brooklyn,085000,3085000,I,BK91,East Flatbush-Farragut,BK,4842.859364824221302,4842.859364824221302,1375.225706765590985,1917.604420332340169,4817.951108835478408,384.552940173360241,9114.467712076379030,78.000000000000000,8.803846153846154,4.182071887799787
262,862,3,Brooklyn,086200,3086200,E,BK96,Rugby-Remsen Village,BK,3671.841539578047559,3671.841539578047559,470.621038432895432,1190.311547244861003,5280.449234721551875,1027.689404064997916,9589.341720956374047,75.000000000000000,9.738666666666662,3.719084940249791
263,864,3,Brooklyn,086400,3086400,I,BK96,Rugby-Remsen Village,BK,3194.745094299946686,2947.891494000714374,1407.973758377422655,803.282855406194813,3348.808357081983559,1434.329964886495191,10626.892130480882770,124.000000000000000,11.763709677419357,9.135638555539868
264,866,3,Brooklyn,086600,3086600,E,BK96,Rugby-Remsen Village,BK,2218.014130594951894,2218.014130594951894,1487.516456864717156,1575.261827324324713,3276.048475360049451,349.718859547807710,9820.164152852870757,104.000000000000000,10.702884615384619,5.640482261464611
265,868,3,Brooklyn,086800,3086800,E,BK96,Rugby-Remsen Village,BK,2153.648401601553815,2153.648401601553815,785.614698554328584,978.143850402457929,4302.043183331238652,1218.707735722235611,8996.658819467656940,117.000000000000000,11.922222222222226,4.580093944058185
266,870,3,Brooklyn,087000,3087000,E,BK91,East Flatbush-Farragut,BK,1899.746456847775562,1899.746456847775562,899.760430821959744,48.426342049039796,4615.163726001477698,1952.614809397872477,7980.877802328937832,95.000000000000000,10.159999999999995,4.620937548786744
267,878,3,Brooklyn,087800,3087800,E,BK60,Prospect Lefferts Gardens-Wingate,BK,720.514798805003124,720.514798805003124,511.590635851371133,257.122649127664204,3071.093472005548392,545.046423655693616,8727.966593854112944,117.000000000000000,11.635897435897435,5.455437994655226
268,890,3,Brooklyn,089000,3089000,E,BK96,Rugby-Remsen Village,BK,823.371745843528288,480.224772054005086,142.656616445048343,1059.580646940320321,2049.717937548208283,2072.211752378668734,11378.091116565230550,184.000000000000000,11.272826086956520,4.900520843532347
269,896,3,Brooklyn,089600,3089600,E,BK81,Brownsville,BK,1145.468077836778548,956.660691482328730,957.121377471418441,1530.424898077631042,1683.014030301962293,1475.398471688941072,10393.445481792072314,113.000000000000000,12.423893805309737,4.824847783244476
270,898,3,Brooklyn,089800,3089800,E,BK81,Brownsville,BK,2911.609972150841259,2665.919111700677604,1238.121474194383154,977.586781847187353,859.575782287608831,0.000000000000000,9173.224267667210370,121.000000000000000,12.590909090909099,5.917305129871198
271,902,3,Brooklyn,090200,3090200,E,BK81,Brownsville,BK,4682.190723394333872,4425.080120672088924,631.243891834538772,1222.328781984041370,2224.951050231609770,832.014480491229961,8164.647717782413565,120.000000000000000,13.126666666666667,4.308555751184429
272,916,3,Brooklyn,091600,3091600,E,BK81,Brownsville,BK,1790.296079562595423,1767.910981363976134,1197.748403813805453,1082.001277499896332,1280.720232405398519,718.552339775545420,9591.554941555246842,172.000000000000000,12.165116279069768,4.056321827718536
273,924,3,Brooklyn,092400,3092400,I,BK81,Brownsville,BK,4404.842428212953564,4206.090548286980265,599.048589211195008,1855.311191819101396,1720.827270462538308,471.822978991420939,7623.862797994110224,182.000000000000000,13.671428571428565,5.189146891515080
274,928,3,Brooklyn,092800,3092800,I,BK96,Rugby-Remsen Village,BK,882.662220257331455,1173.580682917186550,725.175452113026495,2520.512127451530887,3470.979231864291705,1153.310348899494329,12081.080126070286497,95.000000000000000,9.269473684210524,4.029177459065378
275,930,3,Brooklyn,093000,3093000,I,BK96,Rugby-Remsen Village,BK,1802.542089325680990,1917.561340635362285,1662.849129499229321,2642.752339223875424,3939.420034492432478,176.311885127908909,13153.452843404695159,116.000000000000000,11.514655172413798,4.984746372865835
276,954,3,Brooklyn,095400,3095400,I,BK50,Canarsie,BK,5825.132888126149737,4516.376649048889703,1175.159183621424290,5629.071418224791159,4519.658583052741051,939.800409107446171,14464.306099630011886,107.000000000000000,8.918691588785046,3.651108150238761
277,964,3,Brooklyn,096400,3096400,E,BK50,Canarsie,BK,4911.192697416291594,2273.457018307898124,710.231571408320406,6176.376011202613881,2279.882521122283379,27.839641671655915,15255.186229468767124,110.000000000000000,9.045454545454549,3.353066140681762
278,966,3,Brooklyn,096600,3096600,I,BK50,Canarsie,BK,5777.769137240443342,1355.773692148500459,722.112849975220115,7075.070122051984981,2220.063216083960015,1185.198381113730420,15466.310979260908425,87.000000000000000,9.277011494252879,3.658399101825612
279,968,3,Brooklyn,096800,3096800,I,BK50,Canarsie,BK,4559.381483576916253,1401.686163048540266,1515.908778715152721,5961.976309231964478,1074.117267774927541,1023.191368419109040,14256.009782415670998,85.000000000000000,9.042352941176473,2.974829985961913
280,970,3,Brooklyn,097000,3097000,I,BK50,Canarsie,BK,3097.866345614001602,2546.753156329500598,2470.979349774855109,4748.995244256509977,1542.974089626651448,548.727563651577043,13403.993543578304525,68.000000000000000,9.713235294117647,3.319814075524285
281,984,3,Brooklyn,098400,3098400,I,BK50,Canarsie,BK,6455.713303957099924,1892.926166201968272,686.119047818600620,4625.393993702035914,2577.544626459821302,726.583432931512334,13045.137015596852507,51.000000000000000,7.982352941176470,1.817438404167023
282,986,3,Brooklyn,098600,3098600,I,BK50,Canarsie,BK,6174.624180534780862,1552.707976875147551,758.276420198150845,5141.174131988352201,2181.398926951100748,240.821990330052870,13644.867555002414520,82.000000000000000,8.847560975609760,2.343903339859911
283,992,3,Brooklyn,099200,3099200,I,BK50,Canarsie,BK,7063.594968088694259,2048.362018448337039,929.081139750137254,8073.851827572176262,3373.766355799121357,931.611641747340627,16546.920262625648320,60.000000000000000,7.653333333333333,2.441343521934264
284,994,3,Brooklyn,099400,3099400,I,BK50,Canarsie,BK,7301.179222425643275,2945.224174123002285,874.020933396103374,8285.908858075948956,4031.564254692425948,1618.905859084009762,17278.235002365261607,99.000000000000000,5.353535353535352,2.348960392334827
285,996,3,Brooklyn,099600,3099600,I,BK50,Canarsie,BK,7905.344775571371429,4163.069799374577087,1535.697347335486256,8038.343391884921402,5087.133875185032593,1059.033162092198609,17050.361965527114080,91.000000000000000,8.667032967032968,4.531226347249960
286,1004,3,Brooklyn,100400,3100400,I,BK50,Canarsie,BK,9134.992362518980372,4605.983119201734553,1662.796765567413559,9456.926971339418742,5855.815586964366048,1717.195212537519410,18504.119373436704336,76.000000000000000,7.156578947368422,2.716632009250465
287,1006,3,Brooklyn,100600,3100600,I,BK50,Canarsie,BK,8830.099806447444280,3867.520962257275187,963.029464400823258,9884.914334317467365,5253.292912981934023,1157.327473880161733,18393.233731208612880,56.000000000000000,7.151785714285715,2.492095946746876
288,1008,3,Brooklyn,100800,3100800,E,BK50,Canarsie,BK,8529.731355081359652,3166.688192295137014,983.774004685465457,9113.960096631195483,4680.902882092002983,309.901918371826582,17632.930730397900334,60.000000000000000,8.393333333333334,3.228887968654889
289,1010,3,Brooklyn,101000,3101000,I,BK50,Canarsie,BK,8387.702573090366059,2721.406446693832549,738.863051249925320,8383.279970029265314,4316.236464958433316,934.793996459417713,16894.318376765382709,92.000000000000000,9.856521739130432,3.952278640236753
290,1014,3,Brooklyn,101400,3101400,I,BK50,Canarsie,BK,7702.441800320896618,2227.280157767540459,1651.932200037153279,6442.442628473172590,3595.432748177176109,970.171902643507451,14845.220096291785012,60.000000000000000,8.195000000000002,1.351762816423209
291,1016,3,Brooklyn,101600,3101600,I,BK50,Canarsie,BK,7930.086860671530303,1310.166170945817612,2002.236801816042544,6039.005734027698963,3995.464569598196704,1242.015998477947960,14290.040506952467695,53.000000000000000,8.118867924528299,1.463669861338219
292,1020,3,Brooklyn,102000,3102000,I,BK50,Canarsie,BK,9247.115104234393584,2830.713755010966906,1570.439526667033761,7845.031284274764403,5102.494620641556139,837.156942931008871,16089.049475645839266,63.000000000000000,8.620634920634918,1.417421412756815
293,1024,3,Brooklyn,102400,3102400,I,BK50,Canarsie,BK,9585.889306497221696,3943.983791604710859,1001.685428723439145,9524.328318473397303,5537.778410250632987,490.266959832147506,18014.330890778004687,69.000000000000000,8.552173913043482,4.771625962106695
294,1026,3,Brooklyn,102600,3102600,I,BK50,Canarsie,BK,9973.855164655271437,4804.532128273714079,2086.111077109844246,10766.080723260498416,6280.214826247654855,462.480314756889527,19285.374315687055059,55.000000000000000,7.740000000000001,2.181708470866777
295,1110,3,Brooklyn,111000,3111000,E,BK82,East New York,BK,8849.800741305638439,1031.253839523404849,657.516313445606443,3823.042184334297417,2237.907603342676339,683.175204193198624,8246.766070179215603,247.000000000000000,17.198785425101214,6.739384798473862
296,1124,3,Brooklyn,112400,3112400,E,BK82,East New York,BK,8085.481927461084524,1997.556856890658537,927.549391882245914,3340.327166221614334,649.191137589029154,189.952880891260804,6029.831359910086576,135.000000000000000,10.332592592592588,3.818373288664496
297,1126,3,Brooklyn,112600,3112600,E,BK85,East New York (Pennsylvania Ave),BK,6471.698330368287316,3447.449289292029334,156.449466656306925,2197.255412037815404,496.766351307349169,667.417691398284433,6366.643484608711333,111.000000000000000,11.945945945945947,4.183382358891900
298,1128,3,Brooklyn,112800,3112800,E,BK85,East New York (Pennsylvania Ave),BK,6151.640926084489365,3177.365968860557587,126.613563790150124,1266.982042907648292,1329.308944984185473,648.147994619710516,7520.252364593228776,118.000000000000000,12.928813559322030,6.926057593898754
299,1130,3,Brooklyn,113000,3113000,E,BK85,East New York (Pennsylvania Ave),BK,5149.895223083163728,4354.219188408761511,1048.956490661271573,1214.246574836376340,1025.232740021901691,353.892659603662537,7424.993213215776450,121.000000000000000,10.277685950413225,3.598737917736017
