OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt
1253,36081061301,QN,7014.739207999999962,6276.205300999999963,1298.406400000000076,3769.698600000000170,1245.707372999999961,582.679184999999961,7126.522410999999920,249,11.432530119999999,3.791324193000000,11.332778630000000,148.080522500000001,0.001854488000000,0.024231799000000,52.339999999999996,45.272727272727273,1379.822322786676750,0.000000000000000,0.006994910637981,0.003308322738796,0.016152757585847,0.004963935765949,0.000000283628337,0.031635202647698,868.190303418737130,0.063976096440897,15855.675022319663185,7603813.961073430255055,1253
1254,36047070201,BK,10048.192810000000463,9635.629005999999208,1842.361703999999918,13763.548179999999775,13532.742469999999230,824.916365199999973,22268.656770000001416,678,7.628761062000000,2.192409748000000,12.504760279999999,168.240065600000008,0.002059075000000,0.027702958000000,26.100000000000001,49.818181818181820,2888.289716169203075,0.000000000000000,0.001225558620955,0.000000000000000,0.004696506267899,0.000000000000000,0.000000000000000,0.154934310608289,1262.495842695395140,0.262005330171696,19355.531410612529726,11068704.522661544382572,1254
1255,36085013204,SI,15341.635739999999714,7261.690657000000101,2198.574039999999968,27345.949990000000980,34581.552929999998014,1547.893297000000075,5510.991253999999572,595,7.391764706000000,2.680861729000000,7.636020909000000,155.020424499999990,0.001593161000000,0.032343089000000,17.530000000000001,62.181818181818180,2029.129762983174487,0.000000000000000,0.001465885615537,0.000000000000000,0.001892794184228,0.004426601292242,0.000000087463340,0.101960569863086,1838.878612533119622,0.092533152469474,15213.443206049611035,11249671.127084767445922,1255
1256,36081053500,QN,4348.197251999999935,7674.148812999999791,3046.803304999999909,6915.088563999999678,3874.420463999999811,2059.210035000000062,12750.592599999999948,153,10.358169930000001,4.028984043000000,2.493711525000000,29.235756710000000,0.001927134000000,0.022593320000000,67.759999999999991,33.727272727272727,1013.236945128788420,0.000162263570928,0.006833779435097,0.000000000000000,0.003110863337166,0.003085144803549,0.000000000000000,0.013943018950522,2279.815596183766047,0.012843400887821,12525.955604059572579,5465859.260747923515737,1256
1257,36081059500,QN,4385.324547000000166,6432.561440999999832,849.681090899999958,6056.941968000000088,3693.775978000000123,951.961628600000040,11099.710399999999936,228,9.438596491000000,3.275876552000000,8.851492091000001,122.741396100000003,0.001669148000000,0.023145653000000,62.299999999999997,38.818181818181820,544.661234433029335,0.000182537564069,0.007191197316655,0.000095363631560,0.010044933050213,0.003585566370748,0.000000000000000,0.016138677361111,1301.883974647742662,0.015934826806188,9905.837680930209899,4206657.728405338712037,1257
1258,36047062200,BK,8422.843267000000196,978.786759400000051,2458.215448999999808,15108.641920000000027,5269.201908000000003,944.913408699999991,26250.316559999999299,105,10.789523810000000,4.579341652000000,10.640734480000001,87.824713140000000,0.003744101000000,0.030902432000000,64.880000000000010,62.090909090909093,2658.112626540535985,0.000000000000000,0.002810098361806,0.000169499968285,0.005308790103300,0.000025973839075,0.001953222884119,0.156522211703387,1134.218131823349950,0.149086782336235,12096.603369292435673,2689285.282936207950115,1258
1259,36081002200,QN,9709.435919999999896,9405.039802999999665,692.211909799999944,10659.638460000000123,924.199499400000036,889.710434899999996,889.710434899999996,86,7.751162791000000,2.380990609000000,5.560922619000000,72.777899910000002,0.002492570000000,0.032621201000000,78.420000000000002,33.090909090909093,1012.823493353411209,0.000000000000000,0.002972443665688,0.001889288173212,0.015820482590546,0.008727720938623,0.000000000000000,0.118219083795945,1882.675359361668370,0.316197425127029,5028.237620701146625,1594779.627936381381005,1259
1260,36081003000,QN,9294.126066999999239,8561.151847999999518,1124.142626000000064,10374.507349999999860,1497.121640999999954,1563.289346000000023,2477.843018999999913,68,8.302941175999999,2.549332402000000,3.811138953000000,49.877818529999999,0.002492570000000,0.032621202000000,74.379999999999995,58.545454545454547,1079.783180768767352,0.000000000000000,0.004772548237815,0.003246618621051,0.019474345445633,0.009873425774276,0.000000000000000,0.098111668229103,1682.011757076277490,0.252095144987106,5595.289717746327369,1200464.425714779412374,1260
1261,36061030900,MN,1211.598244999999906,1970.594963999999891,415.125000300000011,5501.252969999999550,533.270883499999968,622.312890100000004,4889.755369000000428,281,10.562633450000000,4.720024838000000,34.763272980000004,379.846325700000023,0.003260178000000,0.035622838000000,95.269999999999996,54.090909090909093,440.852108459580279,0.001301903025402,0.011354591554174,0.000516251616015,0.019659757184295,0.012985706018905,0.005317619380852,0.129510313272476,827.036545508225345,0.149347523848216,7744.333740516835860,3282243.118653563316911,1261
1262,36081099801,QN,1164.760823999999957,1026.717963000000054,763.424703099999988,2447.564555999999811,1268.771473000000015,396.227076699999998,44183.528460000001360,624,8.433493589999999,6.199889967000000,46.620399919999997,368.635045600000012,0.005379691000000,0.042538085000000,79.979999999999990,58.000000000000000,948.542334343999983,0.001254477620188,0.009790602923286,0.007151797731322,0.015475716018541,0.007274200822311,0.007786163192412,0.046065467071127,595.260286129995052,0.081463951440085,9472.636096500962594,4916319.396689653396606,1262
