OBJECTID,Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,deaths,cases,DeathDensity,SVI,SumUHVI,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,nursingHomeDensity,parksDensity,NewParksDist,NewParksDensity,Shape_Length,Shape_Area,IDInt,CaseDensity
1549,36047118400,BK,15195.93646,5067.231276,17.88052138,3993.299952,1321.830326,1798.596647,3531.645737,122,10.48606557,3.53093333,12.48891895,140.9126278,0.002492301,69.59,42.72727272727273,504.25681514372246,0,0.011400144029823,0.003464599925792,0.019077170847191,0.014977064216509,3.4392848193e-5,0.067362522706389,1459.557136512139,0.105764171315564,5966.706884977586,2204317.9367596908,1549,0.028120660107762922
1550,36081000400,QN,14103.89299,6702.943255,1102.411903,6333.273519,910.8436381,2069.51631,2069.51631,123,8.881300813,2.235604205,11.42344656,149.4991373,0.00249257,79.61,37.45454545454545,787.0084230765825,0,0.008501784156331,0.00216962598497,0.014662307263775,0.011323138326406,0,0.085341886430979,2437.406943771915,0.184758229689165,6508.267928995155,2420866.3313484467,1550,0.03262036598298058
1551,36047118202,BK,14615.73568,6541.451989,1592.542205,5394.989153,1068.144807,2235.917925,2235.917925,66,10.78030303,4.618065519,7.855732026,88.63692355,0.002492301,60.5,34,1271.258542190548,0,0.008581413980573,0.00245117880404,0.012680023163557,0.011808656342328,0,0.07799478918314,3226.6284781368463,0.159708343446255,4918.213074535981,1337869.7199488557,1551,0.028120851380076143
1552,36047119600,BK,13300.97153,3323.77289,445.0409899,1389.202054,347.3007603,839.0101435,4297.542444,256,9.783203125,3.145378043,12.13002696,136.8614994,0.002492301,87.45,46.09090909090909,1080.4562646418399,0,0.008641790986682,0.007872931695042,0.021360144329568,0.017439747587419,9.77125269576e-4,0.058472646830174,3785.85201890863,0.05943766522866,7989.539379144088,3290535.389333924,1552,0.028120299856174237
1553,36047051300,BK,5241.435627,4494.285807,1527.057585,2625.067205,413.0184091,708.741737,15120.27807,254,14.59488189,7.523250745,7.605789632,134.9915181,0.001406916,56.06,17.90909090909091,1002.033468979358,2.3615481289e-5,0.012744667685845,0.006295458752323,0.023971781134605,0.035956576127898,1.2691110455e-4,0.042292441834103,1510.307258743317,0.034949271008372,7232.6774634082685,2779406.8091079323,1553,0.024970684073251943
1554,36047051900,BK,6894.060584,5682.314791,550.9189276,3814.135233,676.0467548,691.3564852,16265.76476,275,12.80909091,5.27461462,7.075724732,132.1314684,0.001356282,13.489999999999998,18.636363636363637,1230.2527449271915,0,0.010408738317589,0.003379579675807,0.020688425904761,0.028076385232535,7.3038877e-6,0.042827239429409,818.9376017934154,0.036532535810362,7491.2547494727505,2959028.011512729,1554,0.025327097642323174
1555,36085013400,SI,10252.55324,4948.648656,1220.090344,22262.9936,29462.24941,2734.642429,5922.334566,446,7.335201794,2.36831962,6.586526735,133.7144283,0.001593258,32.74,67.18181818181819,4087.4792189051213,0,3.63008400372e-4,0,0.004348732757609,0.004985661743007,1.15661942007e-4,0.100741128261025,822.5017043860622,0.107762385461781,12637.663434348131,9160132.911325805,1555,0.03234504796806967
1556,36047034800,BK,5082.924131,3773.027988,818.528478,2424.04978,1380.987082,966.5449538,25832.50297,196,12.26734694,5.45990092,11.65384472,81.53759197,0.004134035,81.66,38.09090909090909,2292.7995930763063,2.07841183534e-4,0.005763008769962,0.004055079272283,0.016795717960884,0.012241871694901,9.15999640711e-4,0.054873788862356,278.2642563448891,0.055311566617872,18444.424088313164,6985557.330289471,1556,0.028924296548421425
1557,36047035000,BK,4845.076706,3615.954568,768.9207358,2695.940162,651.4123755,410.371788,26957.76958,172,16.28604651,8.235739584,14.4090328,95.11283575,0.004775947,62.55,75.63636363636364,1183.0944436496982,1.15742620614e-4,0.007472956863542,0.003921991653947,0.016772862006393,0.016123264096677,9.48885662688e-4,0.047953863938649,1134.1118189669758,0.048262346535921,5887.33934253989,2123245.339103444,1557,0.03152563332780908
1558,36081062100,QN,9050.614223,6148.185546,1052.896258,7977.95695,4717.692456,213.8775457,2841.61618,169,8.321893491,3.337743209,6.012946411,62.80702162,0.002358943,39.629999999999995,53.72727272727273,430.33244175914234,0,0.003033332705784,0,0.007166857508799,7.322021375e-5,0,0.063969150930643,543.4579655924625,0.182863808340496,7649.490158473706,2795836.1246640845,1558,0.02463986724990192
1559,36081063700,QN,8088.853964,5212.52174,2262.764967,9406.813851,5829.726265,2086.370765,2086.370765,372,9.112903226,4.29664762,4.8640594,83.72609027,0.001404985,13.459999999999999,50.81818181818182,1462.0174357306041,0,0.002093515689335,8.87669982e-7,0.004517995376861,5.052808538e-5,5.3183397063e-5,0.102910738438368,267.4789240897563,0.283432784490287,12444.98452432721,7453339.293381955,1559,0.0241843126140959
1560,36081065501,QN,6649.560336,4039.348316,1608.886705,7926.722468,5642.013422,2477.27587,4317.644345,130,6.773846154,2.407853876,0,0,NA,NA,NA,2292.4845083527657,0,0.003889283261207,5.651317394e-6,0.007257446085158,2.23910696969e-4,4.52363639658e-4,0.070758859243463,2608.20990670224,0.182621119916439,11694.156834171903,8754117.725340953,1560,NaN
1561,36061029100,MN,4459.167679,3748.613039,156.5813668,1685.593619,1018.221952,923.1565833,10549.58975,93,17.81075269,3.894685966,21.95476965,271.3804837,0.001735006,89.9,45.90909090909091,414.0233363683516,1.13087199861e-4,0.013807967704322,0.004817063221708,0.032454540420856,0.028371681645513,7.2651556693e-4,0.14060171097517,2577.678959537345,0.123626882003413,5717.679277165304,2018093.872474901,1561,0.021446221250197565
