OBJECTID,IDINT,NID,WEIGHT
159,1619,1835,0.250000000000000
160,1619,2107,0.250000000000000
161,1636,982,0.250000000000000
162,1636,1706,0.250000000000000
163,1636,1793,0.250000000000000
164,1636,2115,0.250000000000000
165,2107,1434,0.100000000000000
166,2107,1619,0.100000000000000
167,2107,1620,0.100000000000000
168,2107,1740,0.100000000000000
169,2107,1774,0.100000000000000
170,2107,1775,0.100000000000000
171,2107,1804,0.100000000000000
172,2107,1806,0.100000000000000
173,2107,2106,0.100000000000000
174,2107,2115,0.100000000000000
175,1434,1619,0.200000000000000
176,1434,1804,0.200000000000000
177,1434,1835,0.200000000000000
178,1434,2107,0.200000000000000
179,1434,2115,0.200000000000000
180,1706,1636,0.200000000000000
181,1706,1648,0.200000000000000
182,1706,1793,0.200000000000000
183,1706,1825,0.200000000000000
184,1706,2115,0.200000000000000
185,2115,982,0.083333333333333
186,2115,1434,0.083333333333333
187,2115,1636,0.083333333333333
188,2115,1706,0.083333333333333
189,2115,1803,0.083333333333333
190,2115,1804,0.083333333333333
191,2115,1825,0.083333333333333
192,2115,1831,0.083333333333333
193,2115,1835,0.083333333333333
194,2115,1941,0.083333333333333
195,2115,2107,0.083333333333333
196,2115,2114,0.083333333333333
197,1825,1255,0.200000000000000
198,1825,1648,0.200000000000000
199,1825,1706,0.200000000000000
200,1825,2114,0.200000000000000
201,1825,2115,0.200000000000000
202,1804,1339,0.166666666666667
203,1804,1434,0.166666666666667
204,1804,1831,0.166666666666667
205,1804,2106,0.166666666666667
206,1804,2107,0.166666666666667
207,1804,2115,0.166666666666667
208,2114,1000,0.166666666666667
209,2114,1255,0.166666666666667
210,2114,1555,0.166666666666667
211,2114,1825,0.166666666666667
212,2114,1831,0.166666666666667
213,2114,2115,0.166666666666667
214,1255,942,0.142857142857143
215,1255,1000,0.142857142857143
216,1255,1648,0.142857142857143
217,1255,1825,0.142857142857143
218,1255,2114,0.142857142857143
219,1255,2126,0.142857142857143
220,1255,2132,0.142857142857143
221,1339,1739,0.142857142857143
222,1339,1782,0.142857142857143
223,1339,1785,0.142857142857143
224,1339,1804,0.142857142857143
225,1339,1831,0.142857142857143
226,1339,1967,0.142857142857143
227,1339,2106,0.142857142857143
228,1000,1255,0.200000000000000
229,1000,1555,0.200000000000000
230,1000,2114,0.200000000000000
231,1000,2126,0.200000000000000
232,1000,2132,0.200000000000000
233,1831,684,0.090909090909091
234,1831,1191,0.090909090909091
235,1831,1339,0.090909090909091
236,1831,1555,0.090909090909091
237,1831,1782,0.090909090909091
238,1831,1804,0.090909090909091
239,1831,1830,0.090909090909091
240,1831,1883,0.090909090909091
241,1831,1967,0.090909090909091
242,1831,2114,0.090909090909091
243,1831,2115,0.090909090909091
244,2126,942,0.250000000000000
245,2126,1000,0.250000000000000
246,2126,1255,0.250000000000000
247,2126,2132,0.250000000000000
248,1555,1000,0.142857142857143
249,1555,1602,0.142857142857143
250,1555,1830,0.142857142857143
251,1555,1831,0.142857142857143
252,1555,2114,0.142857142857143
253,1555,2131,0.142857142857143
254,1555,2132,0.142857142857143
255,1830,684,0.200000000000000
256,1830,1555,0.200000000000000
257,1830,1602,0.200000000000000
258,1830,1831,0.200000000000000
259,1830,2131,0.200000000000000
260,2132,1000,0.200000000000000
261,2132,1255,0.200000000000000
262,2132,1555,0.200000000000000
263,2132,2126,0.200000000000000
264,2132,2131,0.200000000000000
265,684,1602,0.200000000000000
266,684,1830,0.200000000000000
267,684,1831,0.200000000000000
268,684,1882,0.200000000000000
269,684,1883,0.200000000000000
270,2131,1555,0.250000000000000
271,2131,1602,0.250000000000000
272,2131,1830,0.250000000000000
273,2131,2132,0.250000000000000
274,1602,684,0.200000000000000
275,1602,1555,0.200000000000000
276,1602,1830,0.200000000000000
277,1602,1882,0.200000000000000
278,1602,2131,0.200000000000000
279,1882,684,0.200000000000000
280,1882,1191,0.200000000000000
281,1882,1602,0.200000000000000
282,1882,1883,0.200000000000000
283,1882,2152,0.200000000000000
284,1967,1191,0.100000000000000
285,1967,1339,0.100000000000000
286,1967,1739,0.100000000000000
287,1967,1756,0.100000000000000
288,1967,1782,0.100000000000000
289,1967,1785,0.100000000000000
290,1967,1831,0.100000000000000
291,1967,1884,0.100000000000000
292,1967,1966,0.100000000000000
293,1967,2119,0.100000000000000
294,1883,684,0.200000000000000
295,1883,1191,0.200000000000000
296,1883,1831,0.200000000000000
297,1883,1882,0.200000000000000
298,1883,2152,0.200000000000000
299,1191,1831,0.166666666666667
300,1191,1882,0.166666666666667
301,1191,1883,0.166666666666667
302,1191,1966,0.166666666666667
303,1191,1967,0.166666666666667
304,1191,2152,0.166666666666667
305,1966,1191,0.200000000000000
