Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,meanSidewalkWidth,deaths,cases,DeathDensity,CaseDensity,SVI,UHVI,GorceryDist
36047019100,BK,3961.544271,2751.796822,1011.260717,3591.279254,2503.749104,449.5248644,8260.839166,11.4573913,3.152238793,55.31883763,0.001130645,0.019841764,36.97,18.54545455,725.2574298
36005044901,BX,3659.848421,4833.284274,1659.095996,5070.168212,4428.139344,555.1741872,555.1741872,8.95,2.273557876,55.32324164,0.001393966,0.033919829,35.27,62.27272727,1645.574077
36047120200,BK,15444.65029,1873.382163,913.985677,3835.570625,317.9880783,343.5923604,5940.94116,9.680327869,4.912283678,55.42553257,0.00249228,0.028120514,64.09,47.45454545,1077.370398
36081146300,QN,9641.90297,430.8325061,1968.671998,18578.36106,13566.37632,700.9733359,5210.665923,10.71622807,6.19177222,55.51634804,0.002034759,0.018243953,57.68,59,2135.031295
36081109900,QN,9227.870827,3575.934807,1021.905081,20504.73891,12449.39906,952.4660798,7387.58429,7.99030837,5.45046149,55.62027354,0.001797646,0.018344417,46.95,41.54545455,1350.492601
36047022600,BK,3588.761914,3636.273014,366.9390977,1453.215184,2019.032836,1725.98847,5277.029216,11.27222222,3.812302751,55.67622284,0.001868776,0.027292266,75.19,37.36363636,509.1638959
36081051300,QN,5746.000337,2618.233405,1314.411057,8817.241064,5227.298749,1699.998665,13260.532,7.091428571,4.664228581,55.74112129,0.002020021,0.024140806,37.99,37.90909091,2580.033903
36047012801,BK,5141.808523,3458.425816,749.2290203,5118.380824,1597.947488,164.823615,13706.56926,16.35666667,4.344295245,55.76833555,0.001906229,0.024470529,87.95,65.63636364,575.9190002
36081059000,QN,16070.71581,1907.03933,1635.633223,8244.010849,13630.8495,1159.790852,10675.75207,6.596629213,3.702134866,55.77491945,0.002281044,0.034365323,34.46,65.72727273,2538.829902
36005023100,BX,2554.766358,460.1113651,1026.520339,2318.995762,1718.130178,446.6615605,1906.11713,11.02142857,4.095548132,55.7991346,0.002556522,0.03483092,98.73,68,1258.614372
