Geo_FIPS,Borough,HospitalDist,NursingHomeDist,PharmDist,SoupKitchDist,SubwayDist,parkRecDist,flagshipParkDist,SidewalkCount,meanSidewalkWidth,sdSidewalkWidth,GorceryDist,hospitalDensity,supermarketDensity,soupKitchenDensity,pharmacyDensity,subwayDensity,SVI,UHVI,deaths,cases,DeathDensity,CaseDensity
36005024700,BX,4827.332941,2514.374518,1195.15917,2444.777989,2691.31153,221.4877647,7465.544207,117,11.20769231,4.831080301,1283.938175,5.71943E-05,0.009373569,0.007964465,0.028136905,0.014275956,90.41,59.36363636,4.179165503,71.34299958,0.002051628,0.035023564
36005025700,BX,4542.509139,3629.555443,1362.302988,1335.465196,1907.095669,314.2967465,7971.815864,99,12.38888889,8.665470875,1216.937431,9.73258E-05,0.009893056,0.009518772,0.028124166,0.022051796,80.44,43.63636364,5.848807437,84.50177487,0.002970446,0.042916087
36081010701,QN,8250.092019,7278.331347,2772.608827,7562.647766,4085.154324,2368.846404,4203.813635,110,12.44727273,12.81389519,2013.197577,0,0.002385249,1.30647E-07,0.002424257,0.000880588,,,0,0,,
36005024900,BX,5115.685115,4078.961931,1424.372103,2287.822142,2088.343972,739.5007752,6849.502225,143,12.23706294,8.300166962,1250.690267,2.51707E-05,0.008600612,0.011465722,0.028413342,0.02114843,,,0,0,,
36005025500,BX,4779.699897,2470.780916,654.5584044,2716.980155,1601.376754,636.2121152,7098.509554,122,14.04016393,7.156279793,1512.73962,4.77374E-05,0.009361051,0.011973411,0.030795239,0.026224067,98.13,47.81818182,17.79491646,273.0418704,0.002577106,0.039542631
36005000100,BX,14334.20349,8772.662863,8037.185287,9228.056515,9433.011019,5144.733202,8230.725215,204,11.05735294,7.999063668,5980.072114,0,4.71414E-05,0,0,0,,37.81818182,13.52688545,310.6956502,0.001910577,0.043883566
36061000500,MN,5969.418947,5898.497424,4505.427092,10745.97013,4993.467928,3612.798707,14660.46202,433,8.212702079,6.069337046,3982.416995,0.000180545,0.000804579,0.00070724,0.000846902,0.002143619,,,0,0,,
36081036700,QN,8308.47779,2200.949368,638.3464838,691.2032565,5077.896501,835.4432601,4403.633165,139,7.828776978,2.918984452,795.8487108,0,0.008347052,0.008347571,0.007667726,0.000296197,72.74,56.36363636,13.16877437,129.1552871,0.005516872,0.054107787
36081036500,QN,7737.037468,3680.288744,896.8013148,1158.595475,3609.684425,1512.219298,3513.511061,116,9.763793103,3.194598609,673.3996379,0,0.010619198,0.011666093,0.016662478,0.003970004,78.34,32.18181818,17.88547284,175.4162801,0.005516802,0.054107428
36061002100,MN,2062.441775,5499.301178,224.6275594,2630.766929,437.3636165,808.0824424,18898.01984,237,15.96329114,7.630689218,217.6965124,0.001034655,0.012607992,0.001790881,0.030869311,0.130032218,19.4,20.09090909,2.274656664,54.92367338,0.000350703,0.008468035
36061031703,MN,3395.219243,5716.036032,466.4359097,3839.442368,1546.804721,38.4992791,20051.3797,446,20.36726457,14.85733973,868.067626,0.000473391,0.00660532,0.000722312,0.0151855,0.086725897,17.61,22.90909091,13.99455097,97.46278362,0.002502155,0.017425851
36061016300,MN,4813.3138,3143.411997,869.6092734,1163.875838,1139.359659,297.9383392,3048.650621,417,14.11031175,5.406616686,808.1049845,7.44639E-05,0.00868884,0.004846848,0.022418394,0.022559857,19.27,34.63636364,6.266626974,78.02751781,0.000918591,0.011437631
36061013300,MN,1823.227269,9362.754355,744.4379333,465.3914208,1007.020435,656.868101,1983.143686,89,11.81797753,2.857548289,642.967633,0.00113194,0.012963464,0.010069625,0.032198708,0.099818788,46.24,21,5.246284417,93.05909263,0.000923804,0.016386528
36061020500,MN,1944.251659,2090.680929,1697.753455,1156.13205,962.6044664,0,4134.514885,263,14.74258555,6.154078596,1750.79832,0.001061826,0.006901563,0.012988043,0.01712473,0.019654166,27.55,26.90909091,6.848302593,75.09630367,0.001383495,0.01517097
36061012700,MN,2831.52266,9970.761416,194.1101798,940.1316428,1075.700635,265.6458242,2955.834752,109,12.00917431,3.38273233,413.5516957,0.000730474,0.013285468,0.011084959,0.031858254,0.110063372,44.81,24.18181818,9.088468887,137.3407502,0.001389887,0.021003326
36061012900,MN,3597.769609,11000.93033,1157.18531,2766.804046,3057.078446,1163.662041,4396.288496,259,13.36447876,4.89067821,1147.377399,0.000405499,0.008650147,0.007825149,0.016403366,0.037322774,28.26,19.27272727,9.927770167,143.1192886,0.001393958,0.020095379
36061007600,MN,4116.319886,8322.042746,436.4069131,849.3499681,777.8328604,1548.179008,7289.198482,127,14.39291339,5.196323198,1984.515128,0.000558295,0.010497308,0.009842896,0.042324509,0.155746619,21.02,18.09090909,2.21067218,37.66359823,0.001110333,0.018916925
36061009500,MN,4052.450027,7381.485729,242.649562,851.7803698,8.124961332,1364.164134,8120.583453,80,13.7525,5.366491794,981.4204479,0.000263222,0.01219027,0.0131782,0.040837094,0.150661245,33.3,21.72727273,3.517521516,59.92830346,0.001110329,0.018916762
36061010100,MN,5091.324162,8418.158051,190.5351351,1303.452741,269.0936961,2019.350312,7088.396655,119,18.96722689,8.979827763,1795.246914,2.91149E-05,0.01192433,0.012950983,0.040311323,0.153860951,42.86,22.18181818,1.413468213,24.0813103,0.001110344,0.018916976
36085002001,SI,5858.251365,5335.082155,2344.069974,6361.691899,11640.1913,1652.339811,18967.9196,280,5.716071429,2.822387255,1827.874818,1.11775E-05,0.00274349,0.000301963,0.004448862,0.000445118,73.03,47.36363636,4.905432487,87.26824956,0.001802805,0.032072124
36085002002,SI,7547.682101,6088.989684,1621.593016,8317.890807,12218.88042,1254.404237,18336.99066,490,7.603061224,4.276440765,3423.056734,0,0.002235774,4.37621E-05,0.004514584,0.000494956,57.63,60.36363636,6.243113483,111.0657596,0.001802805,0.032072122
36085018701,SI,10861.75686,1608.013022,886.9537676,9346.911574,26841.00493,1729.523314,8526.566615,156,6.717948718,3.178972997,1449.694758,0,0.003581801,0.000196248,0.006649828,0,47.28,54.72727273,4.074166051,61.554026,0.00225341,0.034045368
36085029104,SI,17916.15396,9315.849824,1405.092461,11401.26933,36865.38543,843.6800869,7469.898131,525,6.792380952,2.635644367,4452.292635,0,0.000346523,0,0.003945977,0,33.2,46.72727273,16.5197349,249.5866925,0.002253408,0.034045382
36085032300,SI,20179.47078,16441.13011,4865.290075,12248.1512,41472.00633,3830.570304,13152.50292,235,10.55829787,7.48884393,4559.158498,0,0.000397929,0.000394731,0.000376623,0,45.77,58.36363636,2.015048625,41.50136121,0.001770693,0.036468683
