Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"36047107000","14000US36047107000","Census Tract 1070","Census Tract 1070, Kings County, New York","ny","140","00","ACSSF","0005196",,,,,"36","047",,,,"107000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,140,1538,0,93,0,157,40
"36047107800","14000US36047107800","Census Tract 1078","Census Tract 1078, Kings County, New York","ny","140","00","ACSSF","0005197",,,,,"36","047",,,,"107800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154,200,3488,0,0,0,408,58
"36047109800","14000US36047109800","Census Tract 1098","Census Tract 1098, Kings County, New York","ny","140","00","ACSSF","0005198",,,,,"36","047",,,,"109800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331,206,1731,0,40,0,345,9
"36047110400","14000US36047110400","Census Tract 1104","Census Tract 1104, Kings County, New York","ny","140","00","ACSSF","0005199",,,,,"36","047",,,,"110400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4530,156,3900,0,2,0,451,21
"36047110600","14000US36047110600","Census Tract 1106","Census Tract 1106, Kings County, New York","ny","140","00","ACSSF","0005200",,,,,"36","047",,,,"110600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3993,260,2897,0,9,0,649,178
"36047111000","14000US36047111000","Census Tract 1110","Census Tract 1110, Kings County, New York","ny","140","00","ACSSF","0005201",,,,,"36","047",,,,"111000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,424,2418,10,0,0,270,208
"36047111600","14000US36047111600","Census Tract 1116","Census Tract 1116, Kings County, New York","ny","140","00","ACSSF","0005202",,,,,"36","047",,,,"111600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4078,494,3152,0,7,0,406,19
"36047111800","14000US36047111800","Census Tract 1118","Census Tract 1118, Kings County, New York","ny","140","00","ACSSF","0005203",,,,,"36","047",,,,"111800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336,565,2427,0,0,0,340,4
"36047112000","14000US36047112000","Census Tract 1120","Census Tract 1120, Kings County, New York","ny","140","00","ACSSF","0005204",,,,,"36","047",,,,"112000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068,926,1992,0,0,0,92,58
"36047112200","14000US36047112200","Census Tract 1122","Census Tract 1122, Kings County, New York","ny","140","00","ACSSF","0005205",,,,,"36","047",,,,"112200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3428,374,2625,51,101,0,277,0
"36047112400","14000US36047112400","Census Tract 1124","Census Tract 1124, Kings County, New York","ny","140","00","ACSSF","0005206",,,,,"36","047",,,,"112400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3316,74,2870,0,0,0,349,23
"36047112600","14000US36047112600","Census Tract 1126","Census Tract 1126, Kings County, New York","ny","140","00","ACSSF","0005207",,,,,"36","047",,,,"112600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395,303,2677,0,82,0,323,10
"36047112800","14000US36047112800","Census Tract 1128","Census Tract 1128, Kings County, New York","ny","140","00","ACSSF","0005208",,,,,"36","047",,,,"112800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012,507,3365,0,0,0,118,22
"36047113000","14000US36047113000","Census Tract 1130","Census Tract 1130, Kings County, New York","ny","140","00","ACSSF","0005209",,,,,"36","047",,,,"113000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,181,3479,27,0,0,170,113
"36047113200","14000US36047113200","Census Tract 1132","Census Tract 1132, Kings County, New York","ny","140","00","ACSSF","0005210",,,,,"36","047",,,,"113200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,79,1813,8,16,0,56,0
"36047113400","14000US36047113400","Census Tract 1134","Census Tract 1134, Kings County, New York","ny","140","00","ACSSF","0005211",,,,,"36","047",,,,"113400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3219,289,2398,0,41,0,478,13
